Departure_Station	Destination_Station	One_Way_Ticket	EasyCard	EasyCard_Senior_Disabled
松山機場	松山機場	20	16	8
松山機場	中山國中	20	16	8
松山機場	南京東路	20	16	8
松山機場	忠孝復興	20	16	8
松山機場	大安	20	16	8
松山機場	科技大樓	25	20	10
松山機場	六張犁	25	20	10
松山機場	麟光	25	20	10
松山機場	辛亥	30	24	12
松山機場	萬芳醫院	30	24	12
松山機場	萬芳社區	30	24	12
松山機場	木柵	35	28	14
松山機場	動物園	35	28	14
松山機場	大直	20	16	8
松山機場	劍南路	20	16	8
松山機場	西湖	25	20	10
松山機場	港墘	25	20	10
松山機場	文德	25	20	10
松山機場	內湖	30	24	12
松山機場	大湖公園	30	24	12
松山機場	葫洲	30	24	12
松山機場	東湖	35	28	14
松山機場	南港軟體園區	35	28	14
松山機場	南港展覽館	35	28	14
松山機場	小碧潭	40	32	16
松山機場	新店	40	32	16
松山機場	新店市公所	40	32	16
松山機場	七張	35	28	14
松山機場	大坪林	35	28	14
松山機場	景美	35	28	14
松山機場	萬隆	30	24	12
松山機場	公館	30	24	12
松山機場	台電大樓	30	24	12
松山機場	古亭	25	20	10
松山機場	中正紀念堂	25	20	10
松山機場	小南門	25	20	10
松山機場	頂溪	30	24	12
松山機場	永安市場	30	24	12
松山機場	景安	35	28	14
松山機場	南勢角	35	28	14
松山機場	臺大醫院	25	20	10
松山機場	台北車站	25	20	10
松山機場	台北車站	25	20	10
松山機場	中山	20	16	8
松山機場	雙連	25	20	10
松山機場	民權西路	25	20	10
松山機場	圓山	25	20	10
松山機場	劍潭	30	24	12
松山機場	士林	30	24	12
松山機場	芝山	30	24	12
松山機場	明德	35	28	14
松山機場	石牌	35	28	14
松山機場	唭哩岸	35	28	14
松山機場	奇岩	40	32	16
松山機場	北投	40	32	16
松山機場	新北投	40	32	16
松山機場	復興崗	40	32	16
松山機場	忠義	45	36	18
松山機場	關渡	45	36	18
松山機場	竹圍	50	40	20
松山機場	紅樹林	50	40	20
松山機場	淡水	55	44	22
松山機場	頂埔	50	36	18
松山機場	永寧	45	36	18
松山機場	土城	45	36	18
松山機場	海山	40	32	16
松山機場	亞東醫院	40	32	16
松山機場	府中	35	28	14
松山機場	板橋	35	28	14
松山機場	新埔	35	28	14
松山機場	江子翠	35	28	14
松山機場	龍山寺	30	24	12
松山機場	西門	25	20	10
松山機場	善導寺	25	20	10
松山機場	忠孝新生	20	16	8
松山機場	忠孝復興	20	16	8
松山機場	忠孝敦化	20	16	8
松山機場	國父紀念館	25	20	10
松山機場	市政府	25	20	10
松山機場	永春	25	20	10
松山機場	後山埤	25	20	10
松山機場	昆陽	30	24	12
松山機場	南港	30	24	12
松山機場	南港展覽館	35	28	14
松山機場	象山	25	20	10
松山機場	世貿中心	25	20	10
松山機場	信義安和	25	20	10
松山機場	大安	20	16	8
松山機場	大安森林公園	25	20	10
松山機場	北門	25	20	10
松山機場	中山	20	16	8
松山機場	松江南京	20	16	8
松山機場	南京復興	20	16	8
松山機場	台北小巨蛋	20	16	8
松山機場	南京三民	20	16	8
松山機場	松山	25	20	10
松山機場	輔大	40	32	16
松山機場	新莊	35	28	14
松山機場	頭前庄	35	28	14
松山機場	先嗇宮	35	28	14
松山機場	三重	30	24	12
松山機場	菜寮	30	24	12
松山機場	台北橋	25	20	10
松山機場	大橋頭	25	20	10
松山機場	民權西路	25	20	10
松山機場	中山國小	25	20	10
松山機場	行天宮	20	16	8
松山機場	松江南京	20	16	8
松山機場	忠孝新生	20	16	8
松山機場	東門	25	20	10
松山機場	蘆洲	35	28	14
松山機場	三民高中	35	28	14
松山機場	徐匯中學	30	24	12
松山機場	三和國中	30	24	12
松山機場	三重國小	30	24	12
松山機場	迴龍	45	36	18
松山機場	丹鳳	40	32	16
中山國中	松山機場	20	16	8
中山國中	中山國中	20	16	8
中山國中	南京東路	20	16	8
中山國中	忠孝復興	20	16	8
中山國中	大安	20	16	8
中山國中	科技大樓	20	16	8
中山國中	六張犁	20	16	8
中山國中	麟光	25	20	10
中山國中	辛亥	25	20	10
中山國中	萬芳醫院	30	24	12
中山國中	萬芳社區	30	24	12
中山國中	木柵	30	24	12
中山國中	動物園	30	24	12
中山國中	大直	20	16	8
中山國中	劍南路	25	20	10
中山國中	西湖	25	20	10
中山國中	港墘	25	20	10
中山國中	文德	30	24	12
中山國中	內湖	30	24	12
中山國中	大湖公園	30	24	12
中山國中	葫洲	35	28	14
中山國中	東湖	35	28	14
中山國中	南港軟體園區	30	24	12
中山國中	南港展覽館	30	24	12
中山國中	小碧潭	40	32	16
中山國中	新店	40	32	16
中山國中	新店市公所	35	28	14
中山國中	七張	35	28	14
中山國中	大坪林	35	28	14
中山國中	景美	30	24	12
中山國中	萬隆	30	24	12
中山國中	公館	25	20	10
中山國中	台電大樓	25	20	10
中山國中	古亭	25	20	10
中山國中	中正紀念堂	25	20	10
中山國中	小南門	25	20	10
中山國中	頂溪	25	20	10
中山國中	永安市場	30	24	12
中山國中	景安	30	24	12
中山國中	南勢角	35	28	14
中山國中	臺大醫院	20	16	8
中山國中	台北車站	20	16	8
中山國中	台北車站	20	16	8
中山國中	中山	20	16	8
中山國中	雙連	20	16	8
中山國中	民權西路	20	16	8
中山國中	圓山	25	20	10
中山國中	劍潭	25	20	10
中山國中	士林	25	20	10
中山國中	芝山	30	24	12
中山國中	明德	30	24	12
中山國中	石牌	30	24	12
中山國中	唭哩岸	35	28	14
中山國中	奇岩	35	28	14
中山國中	北投	35	28	14
中山國中	新北投	40	32	16
中山國中	復興崗	40	32	16
中山國中	忠義	40	32	16
中山國中	關渡	45	36	18
中山國中	竹圍	45	36	18
中山國中	紅樹林	50	40	20
中山國中	淡水	55	44	22
中山國中	頂埔	45	36	18
中山國中	永寧	45	36	18
中山國中	土城	40	32	16
中山國中	海山	40	32	16
中山國中	亞東醫院	35	28	14
中山國中	府中	35	28	14
中山國中	板橋	35	28	14
中山國中	新埔	30	24	12
中山國中	江子翠	30	24	12
中山國中	龍山寺	25	20	10
中山國中	西門	25	20	10
中山國中	善導寺	20	16	8
中山國中	忠孝新生	20	16	8
中山國中	忠孝復興	20	16	8
中山國中	忠孝敦化	20	16	8
中山國中	國父紀念館	20	16	8
中山國中	市政府	20	16	8
中山國中	永春	25	20	10
中山國中	後山埤	25	20	10
中山國中	昆陽	25	20	10
中山國中	南港	30	24	12
中山國中	南港展覽館	30	24	12
中山國中	象山	25	20	10
中山國中	世貿中心	25	20	10
中山國中	信義安和	20	16	8
中山國中	大安	20	16	8
中山國中	大安森林公園	20	16	8
中山國中	北門	20	16	8
中山國中	中山	20	16	8
中山國中	松江南京	20	16	8
中山國中	南京復興	20	16	8
中山國中	台北小巨蛋	20	16	8
中山國中	南京三民	20	16	8
中山國中	松山	20	16	8
中山國中	輔大	35	28	14
中山國中	新莊	35	28	14
中山國中	頭前庄	35	28	14
中山國中	先嗇宮	30	24	12
中山國中	三重	30	24	12
中山國中	菜寮	25	20	10
中山國中	台北橋	25	20	10
中山國中	大橋頭	20	16	8
中山國中	民權西路	20	16	8
中山國中	中山國小	20	16	8
中山國中	行天宮	20	16	8
中山國中	松江南京	20	16	8
中山國中	忠孝新生	20	16	8
中山國中	東門	20	16	8
中山國中	蘆洲	30	24	12
中山國中	三民高中	30	24	12
中山國中	徐匯中學	30	24	12
中山國中	三和國中	30	24	12
中山國中	三重國小	25	20	10
中山國中	迴龍	40	32	16
中山國中	丹鳳	40	32	16
南京東路	松山機場	20	16	8
南京東路	中山國中	20	16	8
南京東路	南京東路	20	16	8
南京東路	忠孝復興	20	16	8
南京東路	大安	20	16	8
南京東路	科技大樓	20	16	8
南京東路	六張犁	20	16	8
南京東路	麟光	20	16	8
南京東路	辛亥	25	20	10
南京東路	萬芳醫院	25	20	10
南京東路	萬芳社區	30	24	12
南京東路	木柵	30	24	12
南京東路	動物園	30	24	12
南京東路	大直	20	16	8
南京東路	劍南路	25	20	10
南京東路	西湖	25	20	10
南京東路	港墘	30	24	12
南京東路	文德	30	24	12
南京東路	內湖	30	24	12
南京東路	大湖公園	35	28	14
南京東路	葫洲	35	28	14
南京東路	東湖	30	24	12
南京東路	南港軟體園區	30	24	12
南京東路	南港展覽館	30	24	12
南京東路	小碧潭	35	28	14
南京東路	新店	35	28	14
南京東路	新店市公所	35	28	14
南京東路	七張	35	28	14
南京東路	大坪林	30	24	12
南京東路	景美	30	24	12
南京東路	萬隆	30	24	12
南京東路	公館	25	20	10
南京東路	台電大樓	25	20	10
南京東路	古亭	20	16	8
南京東路	中正紀念堂	20	16	8
南京東路	小南門	25	20	10
南京東路	頂溪	25	20	10
南京東路	永安市場	30	24	12
南京東路	景安	30	24	12
南京東路	南勢角	30	24	12
南京東路	臺大醫院	20	16	8
南京東路	台北車站	20	16	8
南京東路	台北車站	20	16	8
南京東路	中山	20	16	8
南京東路	雙連	20	16	8
南京東路	民權西路	20	16	8
南京東路	圓山	20	16	8
南京東路	劍潭	25	20	10
南京東路	士林	25	20	10
南京東路	芝山	30	24	12
南京東路	明德	30	24	12
南京東路	石牌	30	24	12
南京東路	唭哩岸	30	24	12
南京東路	奇岩	35	28	14
南京東路	北投	35	28	14
南京東路	新北投	35	28	14
南京東路	復興崗	40	32	16
南京東路	忠義	40	32	16
南京東路	關渡	40	32	16
南京東路	竹圍	45	36	18
南京東路	紅樹林	50	40	20
南京東路	淡水	50	40	20
南京東路	頂埔	45	32	16
南京東路	永寧	40	32	16
南京東路	土城	40	32	16
南京東路	海山	40	32	16
南京東路	亞東醫院	35	28	14
南京東路	府中	35	28	14
南京東路	板橋	30	24	12
南京東路	新埔	30	24	12
南京東路	江子翠	30	24	12
南京東路	龍山寺	25	20	10
南京東路	西門	20	16	8
南京東路	善導寺	20	16	8
南京東路	忠孝新生	20	16	8
南京東路	忠孝復興	20	16	8
南京東路	忠孝敦化	20	16	8
南京東路	國父紀念館	20	16	8
南京東路	市政府	20	16	8
南京東路	永春	20	16	8
南京東路	後山埤	25	20	10
南京東路	昆陽	25	20	10
南京東路	南港	30	24	12
南京東路	南港展覽館	30	24	12
南京東路	象山	20	16	8
南京東路	世貿中心	20	16	8
南京東路	信義安和	20	16	8
南京東路	大安	20	16	8
南京東路	大安森林公園	20	16	8
南京東路	北門	20	16	8
南京東路	中山	20	16	8
南京東路	松江南京	20	16	8
南京東路	南京復興	20	16	8
南京東路	台北小巨蛋	20	16	8
南京東路	南京三民	20	16	8
南京東路	松山	20	16	8
南京東路	輔大	35	28	14
南京東路	新莊	35	28	14
南京東路	頭前庄	30	24	12
南京東路	先嗇宮	30	24	12
南京東路	三重	25	20	10
南京東路	菜寮	25	20	10
南京東路	台北橋	25	20	10
南京東路	大橋頭	20	16	8
南京東路	民權西路	20	16	8
南京東路	中山國小	20	16	8
南京東路	行天宮	20	16	8
南京東路	松江南京	20	16	8
南京東路	忠孝新生	20	16	8
南京東路	東門	20	16	8
南京東路	蘆洲	30	24	12
南京東路	三民高中	30	24	12
南京東路	徐匯中學	25	20	10
南京東路	三和國中	25	20	10
南京東路	三重國小	25	20	10
南京東路	迴龍	40	32	16
南京東路	丹鳳	40	32	16
忠孝復興	松山機場	20	16	8
忠孝復興	中山國中	20	16	8
忠孝復興	南京東路	20	16	8
忠孝復興	忠孝復興	20	16	8
忠孝復興	大安	20	16	8
忠孝復興	科技大樓	20	16	8
忠孝復興	六張犁	20	16	8
忠孝復興	麟光	20	16	8
忠孝復興	辛亥	25	20	10
忠孝復興	萬芳醫院	25	20	10
忠孝復興	萬芳社區	25	20	10
忠孝復興	木柵	25	20	10
忠孝復興	動物園	30	24	12
忠孝復興	大直	25	20	10
忠孝復興	劍南路	25	20	10
忠孝復興	西湖	30	24	12
忠孝復興	港墘	30	24	12
忠孝復興	文德	30	24	12
忠孝復興	內湖	35	28	14
忠孝復興	大湖公園	35	28	14
忠孝復興	葫洲	30	24	12
忠孝復興	東湖	30	24	12
忠孝復興	南港軟體園區	30	24	12
忠孝復興	南港展覽館	25	20	10
忠孝復興	小碧潭	35	28	14
忠孝復興	新店	35	28	14
忠孝復興	新店市公所	35	28	14
忠孝復興	七張	30	24	12
忠孝復興	大坪林	30	24	12
忠孝復興	景美	30	24	12
忠孝復興	萬隆	25	20	10
忠孝復興	公館	25	20	10
忠孝復興	台電大樓	20	16	8
忠孝復興	古亭	20	16	8
忠孝復興	中正紀念堂	20	16	8
忠孝復興	小南門	20	16	8
忠孝復興	頂溪	25	20	10
忠孝復興	永安市場	25	20	10
忠孝復興	景安	30	24	12
忠孝復興	南勢角	30	24	12
忠孝復興	臺大醫院	20	16	8
忠孝復興	台北車站	20	16	8
忠孝復興	台北車站	20	16	8
忠孝復興	中山	20	16	8
忠孝復興	雙連	20	16	8
忠孝復興	民權西路	20	16	8
忠孝復興	圓山	25	20	10
忠孝復興	劍潭	25	20	10
忠孝復興	士林	30	24	12
忠孝復興	芝山	30	24	12
忠孝復興	明德	30	24	12
忠孝復興	石牌	30	24	12
忠孝復興	唭哩岸	35	28	14
忠孝復興	奇岩	35	28	14
忠孝復興	北投	35	28	14
忠孝復興	新北投	40	32	16
忠孝復興	復興崗	40	32	16
忠孝復興	忠義	40	32	16
忠孝復興	關渡	45	36	18
忠孝復興	竹圍	45	36	18
忠孝復興	紅樹林	50	40	20
忠孝復興	淡水	55	44	22
忠孝復興	頂埔	45	32	16
忠孝復興	永寧	40	32	16
忠孝復興	土城	40	32	16
忠孝復興	海山	40	32	16
忠孝復興	亞東醫院	35	28	14
忠孝復興	府中	35	28	14
忠孝復興	板橋	30	24	12
忠孝復興	新埔	30	24	12
忠孝復興	江子翠	30	24	12
忠孝復興	龍山寺	25	20	10
忠孝復興	西門	20	16	8
忠孝復興	善導寺	20	16	8
忠孝復興	忠孝新生	20	16	8
忠孝復興	忠孝復興	20	16	8
忠孝復興	忠孝敦化	20	16	8
忠孝復興	國父紀念館	20	16	8
忠孝復興	市政府	20	16	8
忠孝復興	永春	20	16	8
忠孝復興	後山埤	20	16	8
忠孝復興	昆陽	25	20	10
忠孝復興	南港	25	20	10
忠孝復興	南港展覽館	25	20	10
忠孝復興	象山	20	16	8
忠孝復興	世貿中心	20	16	8
忠孝復興	信義安和	20	16	8
忠孝復興	大安	20	16	8
忠孝復興	大安森林公園	20	16	8
忠孝復興	北門	20	16	8
忠孝復興	中山	20	16	8
忠孝復興	松江南京	20	16	8
忠孝復興	南京復興	20	16	8
忠孝復興	台北小巨蛋	20	16	8
忠孝復興	南京三民	20	16	8
忠孝復興	松山	20	16	8
忠孝復興	輔大	40	32	16
忠孝復興	新莊	35	28	14
忠孝復興	頭前庄	35	28	14
忠孝復興	先嗇宮	30	24	12
忠孝復興	三重	30	24	12
忠孝復興	菜寮	25	20	10
忠孝復興	台北橋	25	20	10
忠孝復興	大橋頭	25	20	10
忠孝復興	民權西路	20	16	8
忠孝復興	中山國小	20	16	8
忠孝復興	行天宮	20	16	8
忠孝復興	松江南京	20	16	8
忠孝復興	忠孝新生	20	16	8
忠孝復興	東門	20	16	8
忠孝復興	蘆洲	35	28	14
忠孝復興	三民高中	30	24	12
忠孝復興	徐匯中學	30	24	12
忠孝復興	三和國中	30	24	12
忠孝復興	三重國小	25	20	10
忠孝復興	迴龍	40	32	16
忠孝復興	丹鳳	40	32	16
大安	松山機場	20	16	8
大安	中山國中	20	16	8
大安	南京東路	20	16	8
大安	忠孝復興	20	16	8
大安	大安	20	16	8
大安	科技大樓	20	16	8
大安	六張犁	20	16	8
大安	麟光	20	16	8
大安	辛亥	20	16	8
大安	萬芳醫院	25	20	10
大安	萬芳社區	25	20	10
大安	木柵	25	20	10
大安	動物園	25	20	10
大安	大直	25	20	10
大安	劍南路	30	24	12
大安	西湖	30	24	12
大安	港墘	30	24	12
大安	文德	35	28	14
大安	內湖	35	28	14
大安	大湖公園	35	28	14
大安	葫洲	35	28	14
大安	東湖	30	24	12
大安	南港軟體園區	30	24	12
大安	南港展覽館	30	24	12
大安	小碧潭	35	28	14
大安	新店	35	28	14
大安	新店市公所	30	24	12
大安	七張	30	24	12
大安	大坪林	30	24	12
大安	景美	25	20	10
大安	萬隆	25	20	10
大安	公館	20	16	8
大安	台電大樓	20	16	8
大安	古亭	20	16	8
大安	中正紀念堂	20	16	8
大安	小南門	20	16	8
大安	頂溪	25	20	10
大安	永安市場	25	20	10
大安	景安	25	20	10
大安	南勢角	30	24	12
大安	臺大醫院	20	16	8
大安	台北車站	20	16	8
大安	台北車站	20	16	8
大安	中山	20	16	8
大安	雙連	20	16	8
大安	民權西路	25	20	10
大安	圓山	25	20	10
大安	劍潭	25	20	10
大安	士林	30	24	12
大安	芝山	30	24	12
大安	明德	30	24	12
大安	石牌	35	28	14
大安	唭哩岸	35	28	14
大安	奇岩	35	28	14
大安	北投	40	32	16
大安	新北投	40	32	16
大安	復興崗	40	32	16
大安	忠義	45	36	18
大安	關渡	45	36	18
大安	竹圍	50	40	20
大安	紅樹林	50	40	20
大安	淡水	55	44	22
大安	頂埔	45	36	18
大安	永寧	45	36	18
大安	土城	40	32	16
大安	海山	40	32	16
大安	亞東醫院	35	28	14
大安	府中	35	28	14
大安	板橋	35	28	14
大安	新埔	30	24	12
大安	江子翠	30	24	12
大安	龍山寺	25	20	10
大安	西門	20	16	8
大安	善導寺	20	16	8
大安	忠孝新生	20	16	8
大安	忠孝復興	20	16	8
大安	忠孝敦化	20	16	8
大安	國父紀念館	20	16	8
大安	市政府	20	16	8
大安	永春	20	16	8
大安	後山埤	20	16	8
大安	昆陽	25	20	10
大安	南港	25	20	10
大安	南港展覽館	30	24	12
大安	象山	20	16	8
大安	世貿中心	20	16	8
大安	信義安和	20	16	8
大安	大安	20	16	8
大安	大安森林公園	20	16	8
大安	北門	25	20	10
大安	中山	20	16	8
大安	松江南京	20	16	8
大安	南京復興	20	16	8
大安	台北小巨蛋	20	16	8
大安	南京三民	20	16	8
大安	松山	25	20	10
大安	輔大	40	32	16
大安	新莊	35	28	14
大安	頭前庄	35	28	14
大安	先嗇宮	30	24	12
大安	三重	30	24	12
大安	菜寮	30	24	12
大安	台北橋	25	20	10
大安	大橋頭	25	20	10
大安	民權西路	25	20	10
大安	中山國小	20	16	8
大安	行天宮	20	16	8
大安	松江南京	20	16	8
大安	忠孝新生	20	16	8
大安	東門	20	16	8
大安	蘆洲	35	28	14
大安	三民高中	30	24	12
大安	徐匯中學	30	24	12
大安	三和國中	30	24	12
大安	三重國小	25	20	10
大安	迴龍	45	36	18
大安	丹鳳	40	32	16
科技大樓	松山機場	25	20	10
科技大樓	中山國中	20	16	8
科技大樓	南京東路	20	16	8
科技大樓	忠孝復興	20	16	8
科技大樓	大安	20	16	8
科技大樓	科技大樓	20	16	8
科技大樓	六張犁	20	16	8
科技大樓	麟光	20	16	8
科技大樓	辛亥	20	16	8
科技大樓	萬芳醫院	20	16	8
科技大樓	萬芳社區	25	20	10
科技大樓	木柵	25	20	10
科技大樓	動物園	25	20	10
科技大樓	大直	25	20	10
科技大樓	劍南路	30	24	12
科技大樓	西湖	30	24	12
科技大樓	港墘	35	28	14
科技大樓	文德	35	28	14
科技大樓	內湖	35	28	14
科技大樓	大湖公園	35	28	14
科技大樓	葫洲	35	28	14
科技大樓	東湖	35	28	14
科技大樓	南港軟體園區	30	24	12
科技大樓	南港展覽館	30	24	12
科技大樓	小碧潭	35	28	14
科技大樓	新店	35	28	14
科技大樓	新店市公所	35	28	14
科技大樓	七張	30	24	12
科技大樓	大坪林	30	24	12
科技大樓	景美	30	24	12
科技大樓	萬隆	25	20	10
科技大樓	公館	25	20	10
科技大樓	台電大樓	20	16	8
科技大樓	古亭	20	16	8
科技大樓	中正紀念堂	20	16	8
科技大樓	小南門	20	16	8
科技大樓	頂溪	25	20	10
科技大樓	永安市場	25	20	10
科技大樓	景安	30	24	12
科技大樓	南勢角	30	24	12
科技大樓	臺大醫院	20	16	8
科技大樓	台北車站	20	16	8
科技大樓	台北車站	20	16	8
科技大樓	中山	25	20	10
科技大樓	雙連	25	20	10
科技大樓	民權西路	25	20	10
科技大樓	圓山	25	20	10
科技大樓	劍潭	30	24	12
科技大樓	士林	30	24	12
科技大樓	芝山	30	24	12
科技大樓	明德	35	28	14
科技大樓	石牌	35	28	14
科技大樓	唭哩岸	35	28	14
科技大樓	奇岩	40	32	16
科技大樓	北投	40	32	16
科技大樓	新北投	40	32	16
科技大樓	復興崗	40	32	16
科技大樓	忠義	45	36	18
科技大樓	關渡	45	36	18
科技大樓	竹圍	50	40	20
科技大樓	紅樹林	55	44	22
科技大樓	淡水	55	44	22
科技大樓	頂埔	45	36	18
科技大樓	永寧	45	36	18
科技大樓	土城	40	32	16
科技大樓	海山	40	32	16
科技大樓	亞東醫院	35	28	14
科技大樓	府中	35	28	14
科技大樓	板橋	35	28	14
科技大樓	新埔	30	24	12
科技大樓	江子翠	30	24	12
科技大樓	龍山寺	25	20	10
科技大樓	西門	25	20	10
科技大樓	善導寺	20	16	8
科技大樓	忠孝新生	20	16	8
科技大樓	忠孝復興	20	16	8
科技大樓	忠孝敦化	20	16	8
科技大樓	國父紀念館	20	16	8
科技大樓	市政府	20	16	8
科技大樓	永春	20	16	8
科技大樓	後山埤	25	20	10
科技大樓	昆陽	25	20	10
科技大樓	南港	30	24	12
科技大樓	南港展覽館	30	24	12
科技大樓	象山	20	16	8
科技大樓	世貿中心	20	16	8
科技大樓	信義安和	20	16	8
科技大樓	大安	20	16	8
科技大樓	大安森林公園	20	16	8
科技大樓	北門	25	20	10
科技大樓	中山	25	20	10
科技大樓	松江南京	20	16	8
科技大樓	南京復興	20	16	8
科技大樓	台北小巨蛋	20	16	8
科技大樓	南京三民	25	20	10
科技大樓	松山	25	20	10
科技大樓	輔大	40	32	16
科技大樓	新莊	35	28	14
科技大樓	頭前庄	35	28	14
科技大樓	先嗇宮	35	28	14
科技大樓	三重	30	24	12
科技大樓	菜寮	30	24	12
科技大樓	台北橋	30	24	12
科技大樓	大橋頭	25	20	10
科技大樓	民權西路	25	20	10
科技大樓	中山國小	25	20	10
科技大樓	行天宮	20	16	8
科技大樓	松江南京	20	16	8
科技大樓	忠孝新生	20	16	8
科技大樓	東門	20	16	8
科技大樓	蘆洲	35	28	14
科技大樓	三民高中	35	28	14
科技大樓	徐匯中學	30	24	12
科技大樓	三和國中	30	24	12
科技大樓	三重國小	30	24	12
科技大樓	迴龍	45	36	18
科技大樓	丹鳳	45	36	18
六張犁	松山機場	25	20	10
六張犁	中山國中	20	16	8
六張犁	南京東路	20	16	8
六張犁	忠孝復興	20	16	8
六張犁	大安	20	16	8
六張犁	科技大樓	20	16	8
六張犁	六張犁	20	16	8
六張犁	麟光	20	16	8
六張犁	辛亥	20	16	8
六張犁	萬芳醫院	20	16	8
六張犁	萬芳社區	20	16	8
六張犁	木柵	20	16	8
六張犁	動物園	25	20	10
六張犁	大直	30	24	12
六張犁	劍南路	30	24	12
六張犁	西湖	35	28	14
六張犁	港墘	35	28	14
六張犁	文德	35	28	14
六張犁	內湖	40	32	16
六張犁	大湖公園	40	32	16
六張犁	葫洲	35	28	14
六張犁	東湖	35	28	14
六張犁	南港軟體園區	35	28	14
六張犁	南港展覽館	30	24	12
六張犁	小碧潭	35	28	14
六張犁	新店	35	28	14
六張犁	新店市公所	35	28	14
六張犁	七張	35	28	14
六張犁	大坪林	30	24	12
六張犁	景美	30	24	12
六張犁	萬隆	30	24	12
六張犁	公館	25	20	10
六張犁	台電大樓	25	20	10
六張犁	古亭	20	16	8
六張犁	中正紀念堂	20	16	8
六張犁	小南門	25	20	10
六張犁	頂溪	25	20	10
六張犁	永安市場	30	24	12
六張犁	景安	30	24	12
六張犁	南勢角	30	24	12
六張犁	臺大醫院	25	20	10
六張犁	台北車站	25	20	10
六張犁	台北車站	25	20	10
六張犁	中山	25	20	10
六張犁	雙連	25	20	10
六張犁	民權西路	25	20	10
六張犁	圓山	30	24	12
六張犁	劍潭	30	24	12
六張犁	士林	30	24	12
六張犁	芝山	35	28	14
六張犁	明德	35	28	14
六張犁	石牌	35	28	14
六張犁	唭哩岸	40	32	16
六張犁	奇岩	40	32	16
六張犁	北投	40	32	16
六張犁	新北投	45	36	18
六張犁	復興崗	45	36	18
六張犁	忠義	45	36	18
六張犁	關渡	50	40	20
六張犁	竹圍	50	40	20
六張犁	紅樹林	55	44	22
六張犁	淡水	55	44	22
六張犁	頂埔	50	36	18
六張犁	永寧	45	36	18
六張犁	土城	45	36	18
六張犁	海山	40	32	16
六張犁	亞東醫院	40	32	16
六張犁	府中	35	28	14
六張犁	板橋	35	28	14
六張犁	新埔	35	28	14
六張犁	江子翠	30	24	12
六張犁	龍山寺	25	20	10
六張犁	西門	25	20	10
六張犁	善導寺	20	16	8
六張犁	忠孝新生	20	16	8
六張犁	忠孝復興	20	16	8
六張犁	忠孝敦化	20	16	8
六張犁	國父紀念館	20	16	8
六張犁	市政府	25	20	10
六張犁	永春	25	20	10
六張犁	後山埤	25	20	10
六張犁	昆陽	30	24	12
六張犁	南港	30	24	12
六張犁	南港展覽館	30	24	12
六張犁	象山	20	16	8
六張犁	世貿中心	20	16	8
六張犁	信義安和	20	16	8
六張犁	大安	20	16	8
六張犁	大安森林公園	20	16	8
六張犁	北門	25	20	10
六張犁	中山	25	20	10
六張犁	松江南京	25	20	10
六張犁	南京復興	20	16	8
六張犁	台北小巨蛋	20	16	8
六張犁	南京三民	25	20	10
六張犁	松山	25	20	10
六張犁	輔大	40	32	16
六張犁	新莊	40	32	16
六張犁	頭前庄	40	32	16
六張犁	先嗇宮	35	28	14
六張犁	三重	35	28	14
六張犁	菜寮	30	24	12
六張犁	台北橋	30	24	12
六張犁	大橋頭	25	20	10
六張犁	民權西路	25	20	10
六張犁	中山國小	25	20	10
六張犁	行天宮	25	20	10
六張犁	松江南京	25	20	10
六張犁	忠孝新生	20	16	8
六張犁	東門	20	16	8
六張犁	蘆洲	35	28	14
六張犁	三民高中	35	28	14
六張犁	徐匯中學	35	28	14
六張犁	三和國中	35	28	14
六張犁	三重國小	30	24	12
六張犁	迴龍	45	36	18
六張犁	丹鳳	45	36	18
麟光	松山機場	25	20	10
麟光	中山國中	25	20	10
麟光	南京東路	20	16	8
麟光	忠孝復興	20	16	8
麟光	大安	20	16	8
麟光	科技大樓	20	16	8
麟光	六張犁	20	16	8
麟光	麟光	20	16	8
麟光	辛亥	20	16	8
麟光	萬芳醫院	20	16	8
麟光	萬芳社區	20	16	8
麟光	木柵	20	16	8
麟光	動物園	20	16	8
麟光	大直	30	24	12
麟光	劍南路	35	28	14
麟光	西湖	35	28	14
麟光	港墘	35	28	14
麟光	文德	40	32	16
麟光	內湖	40	32	16
麟光	大湖公園	40	32	16
麟光	葫洲	40	32	16
麟光	東湖	35	28	14
麟光	南港軟體園區	35	28	14
麟光	南港展覽館	35	28	14
麟光	小碧潭	40	32	16
麟光	新店	40	32	16
麟光	新店市公所	35	28	14
麟光	七張	35	28	14
麟光	大坪林	35	28	14
麟光	景美	30	24	12
麟光	萬隆	30	24	12
麟光	公館	25	20	10
麟光	台電大樓	25	20	10
麟光	古亭	25	20	10
麟光	中正紀念堂	25	20	10
麟光	小南門	25	20	10
麟光	頂溪	25	20	10
麟光	永安市場	30	24	12
麟光	景安	30	24	12
麟光	南勢角	35	28	14
麟光	臺大醫院	25	20	10
麟光	台北車站	25	20	10
麟光	台北車站	25	20	10
麟光	中山	25	20	10
麟光	雙連	25	20	10
麟光	民權西路	30	24	12
麟光	圓山	30	24	12
麟光	劍潭	30	24	12
麟光	士林	35	28	14
麟光	芝山	35	28	14
麟光	明德	35	28	14
麟光	石牌	40	32	16
麟光	唭哩岸	40	32	16
麟光	奇岩	40	32	16
麟光	北投	45	36	18
麟光	新北投	45	36	18
麟光	復興崗	45	36	18
